Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
diabetes,10%,remove_fill,NB,2,2,202,0.7906
diabetes,10%,remove_fill,NB,2,3,303,0.7897
diabetes,10%,remove_fill,MLP,2,1,101,0.7159
diabetes,10%,remove_fill,MLP,2,2,202,0.7153
diabetes,10%,remove_fill,MLP,2,3,303,0.708
diabetes,10%,remove_fill,XGBoost,2,1,101,0.7999
diabetes,10%,remove_fill,XGBoost,2,2,202,0.7976
diabetes,10%,remove_fill,XGBoost,2,3,303,0.7875
diabetes,10%,fill_norm,RF,2,1,101,0.8069
diabetes,10%,fill_norm,RF,2,2,202,0.7946
diabetes,10%,fill_norm,RF,2,3,303,0.7962
diabetes,10%,fill_norm,NB,2,1,101,0.5787
diabetes,10%,fill_norm,NB,2,2,202,0.5857
diabetes,10%,fill_norm,NB,2,3,303,0.5828
diabetes,10%,fill_norm,MLP,2,1,101,0.6106
diabetes,10%,fill_norm,MLP,2,2,202,0.612
diabetes,10%,fill_norm,MLP,2,3,303,0.5884
diabetes,10%,fill_norm,XGBoost,2,1,101,0.7865
diabetes,10%,fill_norm,XGBoost,2,2,202,0.7846
diabetes,10%,fill_norm,XGBoost,2,3,303,0.7773
diabetes,10%,all,RF,2,1,101,0.8107
diabetes,10%,all,RF,2,2,202,0.807
diabetes,10%,all,RF,2,3,303,0.8063
diabetes,10%,all,NB,2,1,101,0.7884
diabetes,10%,all,NB,2,2,202,0.7906
diabetes,10%,all,NB,2,3,303,0.7897
diabetes,10%,all,MLP,2,1,101,0.7371
diabetes,10%,all,MLP,2,2,202,0.759
diabetes,10%,all,MLP,2,3,303,0.7881
diabetes,10%,all,XGBoost,2,1,101,0.7999
diabetes,10%,all,XGBoost,2,2,202,0.7976
diabetes,10%,all,XGBoost,2,3,303,0.7875
diabetes,10%,raw,RF,3,1,101,0.8098
diabetes,10%,raw,RF,3,2,202,0.7834
diabetes,10%,raw,RF,3,3,303,0.7893
diabetes,10%,raw,NB,3,1,101,0.5307
diabetes,10%,raw,NB,3,2,202,0.5064
diabetes,10%,raw,NB,3,3,303,0.5298
diabetes,10%,raw,MLP,3,1,101,0.5256
diabetes,10%,raw,MLP,3,2,202,0.5112
diabetes,10%,raw,MLP,3,3,303,0.5298
diabetes,10%,raw,XGBoost,3,1,101,0.8087
diabetes,10%,raw,XGBoost,3,2,202,0.7835
diabetes,10%,raw,XGBoost,3,3,303,0.7907
diabetes,10%,fill,RF,3,1,101,0.8065
diabetes,10%,fill,RF,3,2,202,0.7914
diabetes,10%,fill,RF,3,3,303,0.793
diabetes,10%,fill,NB,3,1,101,0.6014
diabetes,10%,fill,NB,3,2,202,0.569
diabetes,10%,fill,NB,3,3,303,0.5971
diabetes,10%,fill,MLP,3,1,101,0.6327
diabetes,10%,fill,MLP,3,2,202,0.5803
diabetes,10%,fill,MLP,3,3,303,0.5841
diabetes,10%,fill,XGBoost,3,1,101,0.8053
diabetes,10%,fill,XGBoost,3,2,202,0.7799
diabetes,10%,fill,XGBoost,3,3,303,0.7834
diabetes,10%,remove_fill,RF,3,1,101,0.8083
diabetes,10%,remove_fill,RF,3,2,202,0.7969
diabetes,10%,remove_fill,RF,3,3,303,0.794
diabetes,10%,remove_fill,NB,3,1,101,0.7917
diabetes,10%,remove_fill,NB,3,2,202,0.794
diabetes,10%,remove_fill,NB,3,3,303,0.7929
diabetes,10%,remove_fill,MLP,3,1,101,0.7233
diabetes,10%,remove_fill,MLP,3,2,202,0.721
diabetes,10%,remove_fill,MLP,3,3,303,0.7089
diabetes,10%,remove_fill,XGBoost,3,1,101,0.7979
diabetes,10%,remove_fill,XGBoost,3,2,202,0.7933
diabetes,10%,remove_fill,XGBoost,3,3,303,0.7982
diabetes,10%,fill_norm,RF,3,1,101,0.8066
diabetes,10%,fill_norm,RF,3,2,202,0.791
diabetes,10%,fill_norm,RF,3,3,303,0.793
diabetes,10%,fill_norm,NB,3,1,101,0.6014
diabetes,10%,fill_norm,NB,3,2,202,0.569
diabetes,10%,fill_norm,NB,3,3,303,0.5971
diabetes,10%,fill_norm,MLP,3,1,101,0.6256
diabetes,10%,fill_norm,MLP,3,2,202,0.6071
diabetes,10%,fill_norm,MLP,3,3,303,0.6405
diabetes,10%,fill_norm,XGBoost,3,1,101,0.8053
diabetes,10%,fill_norm,XGBoost,3,2,202,0.7799
diabetes,10%,fill_norm,XGBoost,3,3,303,0.7834
diabetes,10%,all,RF,3,1,101,0.8085
diabetes,10%,all,RF,3,2,202,0.7966
diabetes,10%,all,RF,3,3,303,0.793
diabetes,10%,all,NB,3,1,101,0.7918
diabetes,10%,all,NB,3,2,202,0.794
diabetes,10%,all,NB,3,3,303,0.7929
diabetes,10%,all,MLP,3,1,101,0.7657
diabetes,10%,all,MLP,3,2,202,0.7661
diabetes,10%,all,MLP,3,3,303,0.7672
diabetes,10%,all,XGBoost,3,1,101,0.7979
diabetes,10%,all,XGBoost,3,2,202,0.7933
diabetes,10%,all,XGBoost,3,3,303,0.7982
diabetes,20%,raw,RF,1,1,101,0.7483
diabetes,20%,raw,RF,1,2,202,0.7371
diabetes,20%,raw,RF,1,3,303,0.7515
diabetes,20%,raw,NB,1,1,101,0.4922
diabetes,20%,raw,NB,1,2,202,0.4893
diabetes,20%,raw,NB,1,3,303,0.4971
diabetes,20%,raw,MLP,1,1,101,0.5403
diabetes,20%,raw,MLP,1,2,202,0.5295
diabetes,20%,raw,MLP,1,3,303,0.5356
diabetes,20%,raw,XGBoost,1,1,101,0.7724
diabetes,20%,raw,XGBoost,1,2,202,0.7462
diabetes,20%,raw,XGBoost,1,3,303,0.7723
diabetes,20%,fill,RF,1,1,101,0.7755
diabetes,20%,fill,RF,1,2,202,0.7547
diabetes,20%,fill,RF,1,3,303,0.76
diabetes,20%,fill,NB,1,1,101,0.5443
diabetes,20%,fill,NB,1,2,202,0.5297
diabetes,20%,fill,NB,1,3,303,0.5619
diabetes,20%,fill,MLP,1,1,101,0.5142
diabetes,20%,fill,MLP,1,2,202,0.527
diabetes,20%,fill,MLP,1,3,303,0.4952
diabetes,20%,fill,XGBoost,1,1,101,0.7894
diabetes,20%,fill,XGBoost,1,2,202,0.7663
diabetes,20%,fill,XGBoost,1,3,303,0.7703
diabetes,20%,remove_fill,RF,1,1,101,0.7696
diabetes,20%,remove_fill,RF,1,2,202,0.7609
diabetes,20%,remove_fill,RF,1,3,303,0.752
diabetes,20%,remove_fill,NB,1,1,101,0.7603
diabetes,20%,remove_fill,NB,1,2,202,0.7479
diabetes,20%,remove_fill,NB,1,3,303,0.7564
diabetes,20%,remove_fill,MLP,1,1,101,0.669
diabetes,20%,remove_fill,MLP,1,2,202,0.6523
diabetes,20%,remove_fill,MLP,1,3,303,0.6579
diabetes,20%,remove_fill,XGBoost,1,1,101,0.7758
diabetes,20%,remove_fill,XGBoost,1,2,202,0.7677
diabetes,20%,remove_fill,XGBoost,1,3,303,0.7658
diabetes,20%,fill_norm,RF,1,1,101,0.7758
diabetes,20%,fill_norm,RF,1,2,202,0.754
diabetes,20%,fill_norm,RF,1,3,303,0.76
diabetes,20%,fill_norm,NB,1,1,101,0.5443
diabetes,20%,fill_norm,NB,1,2,202,0.5297
diabetes,20%,fill_norm,NB,1,3,303,0.5619
diabetes,20%,fill_norm,MLP,1,1,101,0.5681
diabetes,20%,fill_norm,MLP,1,2,202,0.5602
diabetes,20%,fill_norm,MLP,1,3,303,0.5567
diabetes,20%,fill_norm,XGBoost,1,1,101,0.7894
diabetes,20%,fill_norm,XGBoost,1,2,202,0.7663
diabetes,20%,fill_norm,XGBoost,1,3,303,0.7703
diabetes,20%,all,RF,1,1,101,0.7689
diabetes,20%,all,RF,1,2,202,0.7617
diabetes,20%,all,RF,1,3,303,0.7511
diabetes,20%,all,NB,1,1,101,0.7603
diabetes,20%,all,NB,1,2,202,0.7479
diabetes,20%,all,NB,1,3,303,0.7564
diabetes,20%,all,MLP,1,1,101,0.7056
diabetes,20%,all,MLP,1,2,202,0.7023
diabetes,20%,all,MLP,1,3,303,0.7299
diabetes,20%,all,XGBoost,1,1,101,0.7758
diabetes,20%,all,XGBoost,1,2,202,0.7677
diabetes,20%,all,XGBoost,1,3,303,0.7658
diabetes,20%,raw,RF,2,1,101,0.7503
diabetes,20%,raw,RF,2,2,202,0.7397
diabetes,20%,raw,RF,2,3,303,0.7446
diabetes,20%,raw,NB,2,1,101,0.5397
diabetes,20%,raw,NB,2,2,202,0.5109
diabetes,20%,raw,NB,2,3,303,0.5315
diabetes,20%,raw,MLP,2,1,101,0.4738
diabetes,20%,raw,MLP,2,2,202,0.5544
diabetes,20%,raw,MLP,2,3,303,0.4801
diabetes,20%,raw,XGBoost,2,1,101,0.7611
diabetes,20%,raw,XGBoost,2,2,202,0.751
diabetes,20%,raw,XGBoost,2,3,303,0.7543
diabetes,20%,fill,RF,2,1,101,0.7631
diabetes,20%,fill,RF,2,2,202,0.7498
diabetes,20%,fill,RF,2,3,303,0.7404
diabetes,20%,fill,NB,2,1,101,0.581
diabetes,20%,fill,NB,2,2,202,0.5486
diabetes,20%,fill,NB,2,3,303,0.5735
diabetes,20%,fill,MLP,2,1,101,0.5195
diabetes,20%,fill,MLP,2,2,202,0.5438
diabetes,20%,fill,MLP,2,3,303,0.4971
diabetes,20%,fill,XGBoost,2,1,101,0.7723
diabetes,20%,fill,XGBoost,2,2,202,0.7672
diabetes,20%,fill,XGBoost,2,3,303,0.7573
diabetes,20%,remove_fill,RF,2,1,101,0.7848
diabetes,20%,remove_fill,RF,2,2,202,0.7709
diabetes,20%,remove_fill,RF,2,3,303,0.7639
diabetes,20%,remove_fill,NB,2,1,101,0.7636
diabetes,20%,remove_fill,NB,2,2,202,0.7521
diabetes,20%,remove_fill,NB,2,3,303,0.7637
diabetes,20%,remove_fill,MLP,2,1,101,0.6585
diabetes,20%,remove_fill,MLP,2,2,202,0.6395
diabetes,20%,remove_fill,MLP,2,3,303,0.6588
diabetes,20%,remove_fill,XGBoost,2,1,101,0.7797
diabetes,20%,remove_fill,XGBoost,2,2,202,0.7588
diabetes,20%,remove_fill,XGBoost,2,3,303,0.7605
diabetes,20%,fill_norm,RF,2,1,101,0.7637
diabetes,20%,fill_norm,RF,2,2,202,0.7496
diabetes,20%,fill_norm,RF,2,3,303,0.7399
diabetes,20%,fill_norm,NB,2,1,101,0.581
diabetes,20%,fill_norm,NB,2,2,202,0.5486
diabetes,20%,fill_norm,NB,2,3,303,0.5735
diabetes,20%,fill_norm,MLP,2,1,101,0.5843
diabetes,20%,fill_norm,MLP,2,2,202,0.5891
diabetes,20%,fill_norm,MLP,2,3,303,0.5788
diabetes,20%,fill_norm,XGBoost,2,1,101,0.7723
diabetes,20%,fill_norm,XGBoost,2,2,202,0.7672
diabetes,20%,fill_norm,XGBoost,2,3,303,0.7573
diabetes,20%,all,RF,2,1,101,0.7836
diabetes,20%,all,RF,2,2,202,0.7709
diabetes,20%,all,RF,2,3,303,0.7627
diabetes,20%,all,NB,2,1,101,0.7637
diabetes,20%,all,NB,2,2,202,0.7521
diabetes,20%,all,NB,2,3,303,0.7637
diabetes,20%,all,MLP,2,1,101,0.7193
diabetes,20%,all,MLP,2,2,202,0.7189
diabetes,20%,all,MLP,2,3,303,0.695
diabetes,20%,all,XGBoost,2,1,101,0.7797
diabetes,20%,all,XGBoost,2,2,202,0.7588
diabetes,20%,all,XGBoost,2,3,303,0.7605
diabetes,20%,raw,RF,3,1,101,0.7611
diabetes,20%,raw,RF,3,2,202,0.7691
diabetes,20%,raw,RF,3,3,303,0.7678
diabetes,20%,raw,NB,3,1,101,0.5318
diabetes,20%,raw,NB,3,2,202,0.4953
diabetes,20%,raw,NB,3,3,303,0.4984
diabetes,20%,raw,MLP,3,1,101,0.5057
diabetes,20%,raw,MLP,3,2,202,0.5032
diabetes,20%,raw,MLP,3,3,303,0.4948
diabetes,20%,raw,XGBoost,3,1,101,0.748
diabetes,20%,raw,XGBoost,3,2,202,0.7611
diabetes,20%,raw,XGBoost,3,3,303,0.7702
diabetes,20%,fill,RF,3,1,101,0.7569
diabetes,20%,fill,RF,3,2,202,0.7615
diabetes,20%,fill,RF,3,3,303,0.7687
diabetes,20%,fill,NB,3,1,101,0.5852
diabetes,20%,fill,NB,3,2,202,0.565
diabetes,20%,fill,NB,3,3,303,0.5726
diabetes,20%,fill,MLP,3,1,101,0.5363
diabetes,20%,fill,MLP,3,2,202,0.5592
diabetes,20%,fill,MLP,3,3,303,0.5031
diabetes,20%,fill,XGBoost,3,1,101,0.7663
diabetes,20%,fill,XGBoost,3,2,202,0.7607
diabetes,20%,fill,XGBoost,3,3,303,0.7611
diabetes,20%,remove_fill,RF,3,1,101,0.78
diabetes,20%,remove_fill,RF,3,2,202,0.7762
diabetes,20%,remove_fill,RF,3,3,303,0.7656
diabetes,20%,remove_fill,NB,3,1,101,0.7601
diabetes,20%,remove_fill,NB,3,2,202,0.757
diabetes,20%,remove_fill,NB,3,3,303,0.7578
diabetes,20%,remove_fill,MLP,3,1,101,0.6813
diabetes,20%,remove_fill,MLP,3,2,202,0.6776
diabetes,20%,remove_fill,MLP,3,3,303,0.6685
diabetes,20%,remove_fill,XGBoost,3,1,101,0.7681
diabetes,20%,remove_fill,XGBoost,3,2,202,0.7636
diabetes,20%,remove_fill,XGBoost,3,3,303,0.7517
diabetes,20%,fill_norm,RF,3,1,101,0.7559
diabetes,20%,fill_norm,RF,3,2,202,0.7616
diabetes,20%,fill_norm,RF,3,3,303,0.7687
diabetes,20%,fill_norm,NB,3,1,101,0.5853
diabetes,20%,fill_norm,NB,3,2,202,0.5649
diabetes,20%,fill_norm,NB,3,3,303,0.5726
diabetes,20%,fill_norm,MLP,3,1,101,0.5679
diabetes,20%,fill_norm,MLP,3,2,202,0.6022
diabetes,20%,fill_norm,MLP,3,3,303,0.5898
diabetes,20%,fill_norm,XGBoost,3,1,101,0.7663
diabetes,20%,fill_norm,XGBoost,3,2,202,0.7607
diabetes,20%,fill_norm,XGBoost,3,3,303,0.7611
diabetes,20%,all,RF,3,1,101,0.7809
diabetes,20%,all,RF,3,2,202,0.7767
diabetes,20%,all,RF,3,3,303,0.7648
diabetes,20%,all,NB,3,1,101,0.7601
diabetes,20%,all,NB,3,2,202,0.7569
diabetes,20%,all,NB,3,3,303,0.7578
diabetes,20%,all,MLP,3,1,101,0.7172
diabetes,20%,all,MLP,3,2,202,0.6953
diabetes,20%,all,MLP,3,3,303,0.6872
diabetes,20%,all,XGBoost,3,1,101,0.7681
diabetes,20%,all,XGBoost,3,2,202,0.7636
diabetes,20%,all,XGBoost,3,3,303,0.7517
diabetes,30%,raw,RF,1,1,101,0.7275
diabetes,30%,raw,RF,1,2,202,0.7284
diabetes,30%,raw,RF,1,3,303,0.7192
diabetes,30%,raw,NB,1,1,101,0.5003
diabetes,30%,raw,NB,1,2,202,0.493
diabetes,30%,raw,NB,1,3,303,0.5086
diabetes,30%,raw,MLP,1,1,101,0.525
diabetes,30%,raw,MLP,1,2,202,0.5247
diabetes,30%,raw,MLP,1,3,303,0.548
diabetes,30%,raw,XGBoost,1,1,101,0.7363
diabetes,30%,raw,XGBoost,1,2,202,0.7465
diabetes,30%,raw,XGBoost,1,3,303,0.7373
diabetes,30%,fill,RF,1,1,101,0.7289
diabetes,30%,fill,RF,1,2,202,0.7192
diabetes,30%,fill,RF,1,3,303,0.7371
diabetes,30%,fill,NB,1,1,101,0.5147
diabetes,30%,fill,NB,1,2,202,0.5189
diabetes,30%,fill,NB,1,3,303,0.515
diabetes,30%,fill,MLP,1,1,101,0.5288
diabetes,30%,fill,MLP,1,2,202,0.5271
diabetes,30%,fill,MLP,1,3,303,0.5083
diabetes,30%,fill,XGBoost,1,1,101,0.7473
diabetes,30%,fill,XGBoost,1,2,202,0.7375
diabetes,30%,fill,XGBoost,1,3,303,0.7467
diabetes,30%,remove_fill,RF,1,1,101,0.7395
diabetes,30%,remove_fill,RF,1,2,202,0.7466
diabetes,30%,remove_fill,RF,1,3,303,0.7512
diabetes,30%,remove_fill,NB,1,1,101,0.7124
diabetes,30%,remove_fill,NB,1,2,202,0.7187
diabetes,30%,remove_fill,NB,1,3,303,0.7196
diabetes,30%,remove_fill,MLP,1,1,101,0.6641
diabetes,30%,remove_fill,MLP,1,2,202,0.6591
diabetes,30%,remove_fill,MLP,1,3,303,0.6595
diabetes,30%,remove_fill,XGBoost,1,1,101,0.7409
diabetes,30%,remove_fill,XGBoost,1,2,202,0.7415
diabetes,30%,remove_fill,XGBoost,1,3,303,0.7506
diabetes,30%,fill_norm,RF,1,1,101,0.728
diabetes,30%,fill_norm,RF,1,2,202,0.7186
diabetes,30%,fill_norm,RF,1,3,303,0.7361
diabetes,30%,fill_norm,NB,1,1,101,0.5147
diabetes,30%,fill_norm,NB,1,2,202,0.5189
diabetes,30%,fill_norm,NB,1,3,303,0.515
diabetes,30%,fill_norm,MLP,1,1,101,0.528
diabetes,30%,fill_norm,MLP,1,2,202,0.5451
diabetes,30%,fill_norm,MLP,1,3,303,0.5433
diabetes,30%,fill_norm,XGBoost,1,1,101,0.7473
diabetes,30%,fill_norm,XGBoost,1,2,202,0.7375
diabetes,30%,fill_norm,XGBoost,1,3,303,0.7467
diabetes,30%,all,RF,1,1,101,0.741
diabetes,30%,all,RF,1,2,202,0.7472
diabetes,30%,all,RF,1,3,303,0.7506
diabetes,30%,all,NB,1,1,101,0.7124
diabetes,30%,all,NB,1,2,202,0.7187
diabetes,30%,all,NB,1,3,303,0.7196
diabetes,30%,all,MLP,1,1,101,0.6912
diabetes,30%,all,MLP,1,2,202,0.7048
diabetes,30%,all,MLP,1,3,303,0.6889
diabetes,30%,all,XGBoost,1,1,101,0.7409
diabetes,30%,all,XGBoost,1,2,202,0.7415
diabetes,30%,all,XGBoost,1,3,303,0.7506
diabetes,30%,raw,RF,2,1,101,0.7088
diabetes,30%,raw,RF,2,2,202,0.7012
diabetes,30%,raw,RF,2,3,303,0.6918
diabetes,30%,raw,NB,2,1,101,0.497
diabetes,30%,raw,NB,2,2,202,0.466
diabetes,30%,raw,NB,2,3,303,0.4703
diabetes,30%,raw,MLP,2,1,101,0.5111
diabetes,30%,raw,MLP,2,2,202,0.4963
diabetes,30%,raw,MLP,2,3,303,0.4567
diabetes,30%,raw,XGBoost,2,1,101,0.7199
diabetes,30%,raw,XGBoost,2,2,202,0.7126
diabetes,30%,raw,XGBoost,2,3,303,0.7058
diabetes,30%,fill,RF,2,1,101,0.7159
diabetes,30%,fill,RF,2,2,202,0.728
diabetes,30%,fill,RF,2,3,303,0.714
diabetes,30%,fill,NB,2,1,101,0.54
diabetes,30%,fill,NB,2,2,202,0.5086
diabetes,30%,fill,NB,2,3,303,0.5189
diabetes,30%,fill,MLP,2,1,101,0.4613
diabetes,30%,fill,MLP,2,2,202,0.4904
diabetes,30%,fill,MLP,2,3,303,0.4599
diabetes,30%,fill,XGBoost,2,1,101,0.723
diabetes,30%,fill,XGBoost,2,2,202,0.7256
diabetes,30%,fill,XGBoost,2,3,303,0.7343
diabetes,30%,remove_fill,RF,2,1,101,0.748
diabetes,30%,remove_fill,RF,2,2,202,0.7552
diabetes,30%,remove_fill,RF,2,3,303,0.7323
diabetes,30%,remove_fill,NB,2,1,101,0.7342
diabetes,30%,remove_fill,NB,2,2,202,0.7187
diabetes,30%,remove_fill,NB,2,3,303,0.7224
diabetes,30%,remove_fill,MLP,2,1,101,0.6453
diabetes,30%,remove_fill,MLP,2,2,202,0.651
diabetes,30%,remove_fill,MLP,2,3,303,0.6261
diabetes,30%,remove_fill,XGBoost,2,1,101,0.747
diabetes,30%,remove_fill,XGBoost,2,2,202,0.7571
diabetes,30%,remove_fill,XGBoost,2,3,303,0.7379
diabetes,30%,fill_norm,RF,2,1,101,0.7154
diabetes,30%,fill_norm,RF,2,2,202,0.7287
diabetes,30%,fill_norm,RF,2,3,303,0.7144
diabetes,30%,fill_norm,NB,2,1,101,0.5401
diabetes,30%,fill_norm,NB,2,2,202,0.5086
diabetes,30%,fill_norm,NB,2,3,303,0.5189
diabetes,30%,fill_norm,MLP,2,1,101,0.4757
diabetes,30%,fill_norm,MLP,2,2,202,0.5066
diabetes,30%,fill_norm,MLP,2,3,303,0.5149
diabetes,30%,fill_norm,XGBoost,2,1,101,0.723
diabetes,30%,fill_norm,XGBoost,2,2,202,0.7256
diabetes,30%,fill_norm,XGBoost,2,3,303,0.7343
diabetes,30%,all,RF,2,1,101,0.7485
diabetes,30%,all,RF,2,2,202,0.7543
diabetes,30%,all,RF,2,3,303,0.7314
diabetes,30%,all,NB,2,1,101,0.7342
diabetes,30%,all,NB,2,2,202,0.7187
diabetes,30%,all,NB,2,3,303,0.7224
diabetes,30%,all,MLP,2,1,101,0.7085
diabetes,30%,all,MLP,2,2,202,0.7118
diabetes,30%,all,MLP,2,3,303,0.6948
diabetes,30%,all,XGBoost,2,1,101,0.747
diabetes,30%,all,XGBoost,2,2,202,0.7571
diabetes,30%,all,XGBoost,2,3,303,0.7379
diabetes,30%,raw,RF,3,1,101,0.7344
diabetes,30%,raw,RF,3,2,202,0.7187
diabetes,30%,raw,RF,3,3,303,0.7416
diabetes,30%,raw,NB,3,1,101,0.5292
diabetes,30%,raw,NB,3,2,202,0.5011
diabetes,30%,raw,NB,3,3,303,0.5422
diabetes,30%,raw,MLP,3,1,101,0.5216
diabetes,30%,raw,MLP,3,2,202,0.5011
diabetes,30%,raw,MLP,3,3,303,0.5157
diabetes,30%,raw,XGBoost,3,1,101,0.7633
diabetes,30%,raw,XGBoost,3,2,202,0.7497
diabetes,30%,raw,XGBoost,3,3,303,0.7651
diabetes,30%,fill,RF,3,1,101,0.7469
diabetes,30%,fill,RF,3,2,202,0.7473
diabetes,30%,fill,RF,3,3,303,0.7447
diabetes,30%,fill,NB,3,1,101,0.5841
diabetes,30%,fill,NB,3,2,202,0.5637
diabetes,30%,fill,NB,3,3,303,0.5883
diabetes,30%,fill,MLP,3,1,101,0.4748
diabetes,30%,fill,MLP,3,2,202,0.5079
diabetes,30%,fill,MLP,3,3,303,0.4799
diabetes,30%,fill,XGBoost,3,1,101,0.7774
diabetes,30%,fill,XGBoost,3,2,202,0.7682
