Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,50%,remove_fill,XGBoost,0.6625,0.0144,9
diabetes,ORYGINALNY,raw,MLP,0.7318,0.0091,3
diabetes,ORYGINALNY,raw,NB,0.8149,0.0007,3
diabetes,ORYGINALNY,raw,RF,0.8302,0.0013,3
diabetes,ORYGINALNY,raw,XGBoost,0.817,0.0016,3
rezygnacje,10%,all,MLP,0.7736,0.0147,9
rezygnacje,10%,all,NB,0.7249,0.0047,9
rezygnacje,10%,all,RF,0.8352,0.0098,9
rezygnacje,10%,all,XGBoost,0.8435,0.0115,9
rezygnacje,10%,fill,MLP,0.5228,0.0155,9
rezygnacje,10%,fill,NB,0.5595,0.011,9
rezygnacje,10%,fill,RF,0.8508,0.0049,9
rezygnacje,10%,fill,XGBoost,0.8583,0.0056,9
rezygnacje,10%,fill_norm,MLP,0.556,0.0121,9
rezygnacje,10%,fill_norm,NB,0.5595,0.0114,9
rezygnacje,10%,fill_norm,RF,0.8507,0.0048,9
rezygnacje,10%,fill_norm,XGBoost,0.8583,0.0056,9
rezygnacje,10%,raw,MLP,0.5036,0.0144,9
rezygnacje,10%,raw,NB,0.5563,0.0089,9
rezygnacje,10%,raw,RF,0.8523,0.0024,9
rezygnacje,10%,raw,XGBoost,0.866,0.0062,9
rezygnacje,10%,remove_fill,MLP,0.6737,0.0086,9
rezygnacje,10%,remove_fill,NB,0.7249,0.0047,9
rezygnacje,10%,remove_fill,RF,0.8354,0.01,9
rezygnacje,10%,remove_fill,XGBoost,0.8435,0.0115,9
rezygnacje,20%,all,MLP,0.7267,0.0104,9
rezygnacje,20%,all,NB,0.7376,0.0053,9
rezygnacje,20%,all,RF,0.8043,0.0126,9
rezygnacje,20%,all,XGBoost,0.8167,0.0118,9
rezygnacje,20%,fill,MLP,0.5042,0.0226,9
rezygnacje,20%,fill,NB,0.5472,0.0173,9
rezygnacje,20%,fill,RF,0.7992,0.0153,9
rezygnacje,20%,fill,XGBoost,0.8104,0.006,9
rezygnacje,20%,fill_norm,MLP,0.5275,0.0212,9
rezygnacje,20%,fill_norm,NB,0.549,0.0181,9
rezygnacje,20%,fill_norm,RF,0.7993,0.0151,9
rezygnacje,20%,fill_norm,XGBoost,0.8104,0.006,9
rezygnacje,20%,raw,MLP,0.4946,0.0177,9
rezygnacje,20%,raw,NB,0.5438,0.0175,9
rezygnacje,20%,raw,RF,0.8002,0.0117,9
rezygnacje,20%,raw,XGBoost,0.8128,0.0057,9
rezygnacje,20%,remove_fill,MLP,0.6581,0.0109,9
rezygnacje,20%,remove_fill,NB,0.7376,0.0053,9
rezygnacje,20%,remove_fill,RF,0.8044,0.0126,9
rezygnacje,20%,remove_fill,XGBoost,0.8167,0.0118,9
rezygnacje,30%,all,MLP,0.6675,0.0178,9
rezygnacje,30%,all,NB,0.6839,0.0059,9
rezygnacje,30%,all,RF,0.7545,0.011,9
rezygnacje,30%,all,XGBoost,0.7718,0.0085,9
rezygnacje,30%,fill,MLP,0.5088,0.0119,9
rezygnacje,30%,fill,NB,0.5302,0.0218,9
rezygnacje,30%,fill,RF,0.7363,0.0124,9
rezygnacje,30%,fill,XGBoost,0.7591,0.0117,9
rezygnacje,30%,fill_norm,MLP,0.5194,0.0105,9
rezygnacje,30%,fill_norm,NB,0.5297,0.0244,9
rezygnacje,30%,fill_norm,RF,0.7362,0.0125,9
rezygnacje,30%,fill_norm,XGBoost,0.7591,0.0117,9
rezygnacje,30%,raw,MLP,0.5015,0.0147,9
rezygnacje,30%,raw,NB,0.519,0.0263,9
rezygnacje,30%,raw,RF,0.7306,0.0147,9
rezygnacje,30%,raw,XGBoost,0.7597,0.0158,9
rezygnacje,30%,remove_fill,MLP,0.6256,0.0233,9
rezygnacje,30%,remove_fill,NB,0.6839,0.0059,9
rezygnacje,30%,remove_fill,RF,0.7544,0.011,9
rezygnacje,30%,remove_fill,XGBoost,0.7718,0.0085,9
rezygnacje,40%,all,MLP,0.6007,0.0184,9
rezygnacje,40%,all,NB,0.6371,0.0211,9
rezygnacje,40%,all,RF,0.7075,0.0125,9
rezygnacje,40%,all,XGBoost,0.7235,0.0134,9
rezygnacje,40%,fill,MLP,0.4993,0.0125,9
rezygnacje,40%,fill,NB,0.5491,0.0159,9
rezygnacje,40%,fill,RF,0.6943,0.0202,9
rezygnacje,40%,fill,XGBoost,0.7186,0.0247,9
rezygnacje,40%,fill_norm,MLP,0.5145,0.0172,9
rezygnacje,40%,fill_norm,NB,0.5361,0.0111,9
rezygnacje,40%,fill_norm,RF,0.6946,0.02,9
rezygnacje,40%,fill_norm,XGBoost,0.7186,0.0247,9
rezygnacje,40%,raw,MLP,0.4978,0.0127,9
rezygnacje,40%,raw,NB,0.5312,0.0158,9
rezygnacje,40%,raw,RF,0.6901,0.0144,9
rezygnacje,40%,raw,XGBoost,0.7221,0.0202,9
rezygnacje,40%,remove_fill,MLP,0.5926,0.0194,9
rezygnacje,40%,remove_fill,NB,0.6371,0.0211,9
rezygnacje,40%,remove_fill,RF,0.7075,0.0121,9
rezygnacje,40%,remove_fill,XGBoost,0.7235,0.0134,9
rezygnacje,50%,all,MLP,0.53,0.0177,9
rezygnacje,50%,all,NB,0.5433,0.0106,9
rezygnacje,50%,all,RF,0.6471,0.0133,9
rezygnacje,50%,all,XGBoost,0.6778,0.0075,9
rezygnacje,50%,fill,MLP,0.516,0.0225,9
rezygnacje,50%,fill,NB,0.5477,0.0242,9
rezygnacje,50%,fill,RF,0.6466,0.0164,9
rezygnacje,50%,fill,XGBoost,0.6866,0.0118,9
rezygnacje,50%,fill_norm,MLP,0.5221,0.0184,9
rezygnacje,50%,fill_norm,NB,0.5083,0.0095,9
rezygnacje,50%,fill_norm,RF,0.6467,0.0163,9
rezygnacje,50%,fill_norm,XGBoost,0.6866,0.0118,9
rezygnacje,50%,raw,MLP,0.508,0.0214,9
rezygnacje,50%,raw,NB,0.5262,0.0162,9
rezygnacje,50%,raw,RF,0.6379,0.0213,9
rezygnacje,50%,raw,XGBoost,0.6785,0.0142,9
rezygnacje,50%,remove_fill,MLP,0.5119,0.0168,9
rezygnacje,50%,remove_fill,NB,0.5434,0.0106,9
rezygnacje,50%,remove_fill,RF,0.6471,0.0134,9
rezygnacje,50%,remove_fill,XGBoost,0.6778,0.0075,9
rezygnacje,ORYGINALNY,raw,MLP,0.8263,0.006,3
rezygnacje,ORYGINALNY,raw,NB,0.6331,0.0072,3
rezygnacje,ORYGINALNY,raw,RF,0.9118,0.0018,3
rezygnacje,ORYGINALNY,raw,XGBoost,0.9189,0.004,3
serce,10%,all,MLP,0.8335,0.0179,9
serce,10%,all,NB,0.783,0.0248,9
serce,10%,all,RF,0.87,0.0187,9
serce,10%,all,XGBoost,0.8572,0.0269,9
serce,10%,fill,MLP,0.4423,0.0724,9
serce,10%,fill,NB,0.6642,0.0359,9
serce,10%,fill,RF,0.8674,0.0125,9
serce,10%,fill,XGBoost,0.8572,0.0202,9
serce,10%,fill_norm,MLP,0.7835,0.0263,9
serce,10%,fill_norm,NB,0.6643,0.0358,9
serce,10%,fill_norm,RF,0.8671,0.0127,9
serce,10%,fill_norm,XGBoost,0.8572,0.0202,9
serce,10%,raw,MLP,0.4927,0.0279,9
serce,10%,raw,NB,0.4796,0.0201,9
serce,10%,raw,RF,0.8624,0.015,9
serce,10%,raw,XGBoost,0.8408,0.0199,9
serce,10%,remove_fill,MLP,0.7487,0.0396,9
serce,10%,remove_fill,NB,0.783,0.0248,9
serce,10%,remove_fill,RF,0.8704,0.0192,9
serce,10%,remove_fill,XGBoost,0.8572,0.0269,9
serce,20%,all,MLP,0.771,0.0318,9
serce,20%,all,NB,0.7544,0.0193,9
serce,20%,all,RF,0.8446,0.0124,9
serce,20%,all,XGBoost,0.8311,0.0178,9
serce,20%,fill,MLP,0.4763,0.0429,9
serce,20%,fill,NB,0.6653,0.017,9
serce,20%,fill,RF,0.8412,0.0175,9
serce,20%,fill,XGBoost,0.83,0.0245,9
serce,20%,fill_norm,MLP,0.7325,0.023,9
serce,20%,fill_norm,NB,0.6654,0.0168,9
serce,20%,fill_norm,RF,0.8412,0.0177,9
serce,20%,fill_norm,XGBoost,0.83,0.0245,9
serce,20%,raw,MLP,0.5231,0.0334,9
serce,20%,raw,NB,0.5216,0.0268,9
