Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,20%,remove,XGBoost,1,3,303,0.8833
zapalenia,20%,remove,XGBoost,1,4,404,0.8925
zapalenia,20%,remove,XGBoost,1,5,505,0.8888
zapalenia,20%,remove_fill,RF,1,1,101,0.8982
zapalenia,20%,remove_fill,RF,1,2,202,0.9079
zapalenia,20%,remove_fill,RF,1,3,303,0.9038
zapalenia,20%,remove_fill,RF,1,4,404,0.8939
zapalenia,20%,remove_fill,RF,1,5,505,0.8958
zapalenia,20%,remove_fill,NB,1,1,101,0.7254
zapalenia,20%,remove_fill,NB,1,2,202,0.7338
zapalenia,20%,remove_fill,NB,1,3,303,0.7159
zapalenia,20%,remove_fill,NB,1,4,404,0.7383
zapalenia,20%,remove_fill,NB,1,5,505,0.7304
zapalenia,20%,remove_fill,MLP,1,1,101,0.6313
zapalenia,20%,remove_fill,MLP,1,2,202,0.5828
zapalenia,20%,remove_fill,MLP,1,3,303,0.6612
zapalenia,20%,remove_fill,MLP,1,4,404,0.6376
zapalenia,20%,remove_fill,MLP,1,5,505,0.6937
zapalenia,20%,remove_fill,XGBoost,1,1,101,0.8931
zapalenia,20%,remove_fill,XGBoost,1,2,202,0.887
zapalenia,20%,remove_fill,XGBoost,1,3,303,0.8805
zapalenia,20%,remove_fill,XGBoost,1,4,404,0.8898
zapalenia,20%,remove_fill,XGBoost,1,5,505,0.8829
zapalenia,20%,remove_norm,RF,1,1,101,0.8479
zapalenia,20%,remove_norm,RF,1,2,202,0.8551
zapalenia,20%,remove_norm,RF,1,3,303,0.8612
zapalenia,20%,remove_norm,RF,1,4,404,0.8743
zapalenia,20%,remove_norm,RF,1,5,505,0.8568
zapalenia,20%,remove_norm,NB,1,1,101,0.4982
zapalenia,20%,remove_norm,NB,1,2,202,0.5018
zapalenia,20%,remove_norm,NB,1,3,303,0.5454
zapalenia,20%,remove_norm,NB,1,4,404,0.5343
zapalenia,20%,remove_norm,NB,1,5,505,0.5167
zapalenia,20%,remove_norm,MLP,1,1,101,0.5576
zapalenia,20%,remove_norm,MLP,1,2,202,0.5306
zapalenia,20%,remove_norm,MLP,1,3,303,0.5595
zapalenia,20%,remove_norm,MLP,1,4,404,0.5331
zapalenia,20%,remove_norm,MLP,1,5,505,0.5363
zapalenia,20%,remove_norm,XGBoost,1,1,101,0.8791
zapalenia,20%,remove_norm,XGBoost,1,2,202,0.8728
zapalenia,20%,remove_norm,XGBoost,1,3,303,0.8833
zapalenia,20%,remove_norm,XGBoost,1,4,404,0.8925
zapalenia,20%,remove_norm,XGBoost,1,5,505,0.8888
zapalenia,20%,fill_norm,RF,1,1,101,0.9005
zapalenia,20%,fill_norm,RF,1,2,202,0.8996
zapalenia,20%,fill_norm,RF,1,3,303,0.9041
zapalenia,20%,fill_norm,RF,1,4,404,0.8987
zapalenia,20%,fill_norm,RF,1,5,505,0.897
zapalenia,20%,fill_norm,NB,1,1,101,0.7088
zapalenia,20%,fill_norm,NB,1,2,202,0.7093
zapalenia,20%,fill_norm,NB,1,3,303,0.6894
zapalenia,20%,fill_norm,NB,1,4,404,0.72
zapalenia,20%,fill_norm,NB,1,5,505,0.7152
zapalenia,20%,fill_norm,MLP,1,1,101,0.6334
zapalenia,20%,fill_norm,MLP,1,2,202,0.6155
zapalenia,20%,fill_norm,MLP,1,3,303,0.6239
zapalenia,20%,fill_norm,MLP,1,4,404,0.6439
zapalenia,20%,fill_norm,MLP,1,5,505,0.637
zapalenia,20%,fill_norm,XGBoost,1,1,101,0.8879
zapalenia,20%,fill_norm,XGBoost,1,2,202,0.8871
zapalenia,20%,fill_norm,XGBoost,1,3,303,0.8904
zapalenia,20%,fill_norm,XGBoost,1,4,404,0.8916
zapalenia,20%,fill_norm,XGBoost,1,5,505,0.8882
zapalenia,20%,all,RF,1,1,101,0.8979
zapalenia,20%,all,RF,1,2,202,0.9079
zapalenia,20%,all,RF,1,3,303,0.9038
zapalenia,20%,all,RF,1,4,404,0.8947
zapalenia,20%,all,RF,1,5,505,0.8963
zapalenia,20%,all,NB,1,1,101,0.7253
zapalenia,20%,all,NB,1,2,202,0.7333
zapalenia,20%,all,NB,1,3,303,0.7157
zapalenia,20%,all,NB,1,4,404,0.7381
zapalenia,20%,all,NB,1,5,505,0.7306
zapalenia,20%,all,MLP,1,1,101,0.6618
zapalenia,20%,all,MLP,1,2,202,0.6489
zapalenia,20%,all,MLP,1,3,303,0.6383
zapalenia,20%,all,MLP,1,4,404,0.6651
zapalenia,20%,all,MLP,1,5,505,0.6469
zapalenia,20%,all,XGBoost,1,1,101,0.8931
zapalenia,20%,all,XGBoost,1,2,202,0.887
zapalenia,20%,all,XGBoost,1,3,303,0.8805
zapalenia,20%,all,XGBoost,1,4,404,0.8898
zapalenia,20%,all,XGBoost,1,5,505,0.8829
zapalenia,20%,raw,RF,2,1,101,0.8739
zapalenia,20%,raw,RF,2,2,202,0.8865
