Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
rezygnacje,ORYGINALNY,raw,RF,0.9116,0.0018,2
rezygnacje,ORYGINALNY,raw,XGBoost,0.9169,0.0006,2
serce,20%,all,NB,0.7363,0.0242,4
serce,20%,all,RF,0.8305,0.0213,4
serce,20%,all,XGBoost,0.8096,0.0182,4
serce,20%,fill,NB,0.6398,0.0262,4
serce,20%,fill,RF,0.8126,0.0162,4
serce,20%,fill,XGBoost,0.8022,0.0191,4
serce,20%,fill_norm,NB,0.6402,0.026,4
serce,20%,fill_norm,RF,0.8126,0.0158,4
serce,20%,fill_norm,XGBoost,0.8022,0.0191,4
serce,20%,raw,NB,0.5342,0.0374,4
serce,20%,raw,RF,0.8213,0.0252,4
serce,20%,raw,XGBoost,0.8243,0.0291,4
serce,20%,remove_fill,NB,0.7363,0.0242,4
serce,20%,remove_fill,RF,0.8301,0.0216,4
serce,20%,remove_fill,XGBoost,0.8096,0.0182,4
serce,40%,all,NB,0.6042,0.0234,4
serce,40%,all,RF,0.727,0.0338,4
serce,40%,all,XGBoost,0.7138,0.0314,4
serce,40%,fill,NB,0.577,0.045,4
serce,40%,fill,RF,0.7325,0.0209,4
serce,40%,fill,XGBoost,0.7275,0.0216,4
serce,40%,fill_norm,NB,0.5777,0.0451,4
serce,40%,fill_norm,RF,0.7323,0.0212,4
serce,40%,fill_norm,XGBoost,0.7275,0.0216,4
serce,40%,raw,NB,0.4921,0.0562,4
serce,40%,raw,RF,0.7161,0.041,4
serce,40%,raw,XGBoost,0.7268,0.021,4
serce,40%,remove_fill,NB,0.6039,0.0237,4
serce,40%,remove_fill,RF,0.727,0.0336,4
serce,40%,remove_fill,XGBoost,0.7138,0.0314,4
serce,60%,all,NB,0.532,0.0344,4
serce,60%,all,RF,0.5634,0.0421,4
serce,60%,all,XGBoost,0.602,0.0309,4
serce,60%,fill,NB,0.566,0.0293,4
serce,60%,fill,RF,0.5739,0.0375,4
serce,60%,fill,XGBoost,0.6076,0.0281,4
serce,60%,fill_norm,NB,0.5658,0.029,4
serce,60%,fill_norm,RF,0.575,0.0369,4
serce,60%,fill_norm,XGBoost,0.6076,0.0281,4
serce,60%,raw,NB,0.534,0.0378,4
serce,60%,raw,RF,0.5548,0.0348,4
serce,60%,raw,XGBoost,0.5636,0.0356,4
serce,60%,remove_fill,NB,0.5322,0.0343,4
serce,60%,remove_fill,RF,0.5629,0.0437,4
serce,60%,remove_fill,XGBoost,0.602,0.0309,4
serce,ORYGINALNY,raw,NB,0.8969,0.0013,2
serce,ORYGINALNY,raw,RF,0.8889,0.0098,2
serce,ORYGINALNY,raw,XGBoost,0.8842,0.0095,2
zapalenia,20%,all,NB,0.7162,0.0097,4
zapalenia,20%,all,RF,0.8903,0.0115,4
zapalenia,20%,all,XGBoost,0.8685,0.0162,4
zapalenia,20%,fill,NB,0.6898,0.0087,4
zapalenia,20%,fill,RF,0.8784,0.0175,4
zapalenia,20%,fill,XGBoost,0.8642,0.0334,4
zapalenia,20%,fill_norm,NB,0.7062,0.0148,4
zapalenia,20%,fill_norm,RF,0.8787,0.0174,4
zapalenia,20%,fill_norm,XGBoost,0.8642,0.0334,4
zapalenia,20%,raw,NB,0.6003,0.0334,4
zapalenia,20%,raw,RF,0.8569,0.0154,4
zapalenia,20%,raw,XGBoost,0.878,0.0069,4
zapalenia,20%,remove_fill,NB,0.7166,0.0098,4
zapalenia,20%,remove_fill,RF,0.8903,0.0117,4
zapalenia,20%,remove_fill,XGBoost,0.8685,0.0162,4
zapalenia,40%,all,NB,0.6186,0.0161,4
zapalenia,40%,all,RF,0.832,0.0171,4
zapalenia,40%,all,XGBoost,0.8302,0.0177,4
zapalenia,40%,fill,NB,0.6411,0.0614,4
zapalenia,40%,fill,RF,0.838,0.0339,4
zapalenia,40%,fill,XGBoost,0.8276,0.0284,4
zapalenia,40%,fill_norm,NB,0.6769,0.044,4
zapalenia,40%,fill_norm,RF,0.8374,0.0343,4
zapalenia,40%,fill_norm,XGBoost,0.8276,0.0284,4
zapalenia,40%,raw,NB,0.5987,0.0266,4
zapalenia,40%,raw,RF,0.7755,0.0199,4
zapalenia,40%,raw,XGBoost,0.7869,0.0382,4
zapalenia,40%,remove_fill,NB,0.5686,0.0193,4
zapalenia,40%,remove_fill,RF,0.8318,0.0172,4
zapalenia,40%,remove_fill,XGBoost,0.8302,0.0177,4
zapalenia,60%,all,NB,0.5571,0.0224,4
zapalenia,60%,all,RF,0.7897,0.0216,4
zapalenia,60%,all,XGBoost,0.7424,0.0199,4
zapalenia,60%,fill,NB,0.5346,0.0178,4
zapalenia,60%,fill,RF,0.7998,0.0115,4
zapalenia,60%,fill,XGBoost,0.7309,0.0301,4
zapalenia,60%,fill_norm,NB,0.554,0.028,4
zapalenia,60%,fill_norm,RF,0.7994,0.0117,4
zapalenia,60%,fill_norm,XGBoost,0.7309,0.0301,4
zapalenia,60%,raw,NB,0.5078,0.0209,4
zapalenia,60%,raw,RF,0.5835,0.0112,4
zapalenia,60%,raw,XGBoost,0.6248,0.05,4
zapalenia,60%,remove_fill,NB,0.5539,0.035,4
zapalenia,60%,remove_fill,RF,0.7904,0.0205,4
zapalenia,60%,remove_fill,XGBoost,0.7424,0.0199,4
zapalenia,ORYGINALNY,raw,NB,0.8446,0.0012,2
zapalenia,ORYGINALNY,raw,RF,0.9335,0.0044,2
zapalenia,ORYGINALNY,raw,XGBoost,0.9425,0.0092,2
