Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Znak_Istotnosci,Srednia_Delta,Test,Liczba_metod,Metody
rezygnacje,NB,raw,fill,45,473.5,0.619339,NIE,,-0.0003,Wilcoxon,,
rezygnacje,NB,raw,fill_knn,45,264.5,0.004293,TAK,**,0.0017,Wilcoxon,,
rezygnacje,NB,raw,fill_norm,45,0.0,0.0,TAK,***,-0.0343,Wilcoxon,,
rezygnacje,NB,raw,remove_fill,45,24.0,0.0,TAK,***,0.1128,Wilcoxon,,
rezygnacje,RF,raw,all,45,499.5,0.838996,NIE,,-0.0002,Wilcoxon,,
rezygnacje,RF,raw,all_knn,45,353.5,0.098665,NIE,,-0.0055,Wilcoxon,,
rezygnacje,RF,raw,fill,45,411.5,0.231494,NIE,,-0.001,Wilcoxon,,
rezygnacje,RF,raw,fill_knn,45,12.0,0.0,TAK,***,-0.0206,Wilcoxon,,
rezygnacje,RF,raw,fill_norm,45,415.5,0.249593,NIE,,-0.0011,Wilcoxon,,
rezygnacje,RF,raw,remove_fill,45,495.5,0.803881,NIE,,-0.0001,Wilcoxon,,
rezygnacje,XGBoost,raw,all,45,369.0,0.093694,NIE,,-0.0035,Wilcoxon,,
rezygnacje,XGBoost,raw,all_knn,45,139.0,1.9e-05,TAK,***,-0.018,Wilcoxon,,
rezygnacje,XGBoost,raw,fill,45,300.5,0.014306,TAK,*,-0.0032,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_knn,45,45.5,0.0,TAK,***,-0.0181,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_norm,45,300.5,0.014306,TAK,*,-0.0032,Wilcoxon,,
rezygnacje,XGBoost,raw,remove_fill,45,369.0,0.093694,NIE,,-0.0035,Wilcoxon,,
serce,MLP,raw,all,45,0.0,0.0,TAK,***,0.2217,Wilcoxon,,
serce,MLP,raw,all_knn,45,0.0,0.0,TAK,***,0.2177,Wilcoxon,,
serce,MLP,raw,fill,45,407.0,0.21664,NIE,,0.011,Wilcoxon,,
serce,MLP,raw,fill_knn,45,407.5,0.214369,NIE,,-0.007,Wilcoxon,,
serce,MLP,raw,fill_norm,45,0.0,0.0,TAK,***,0.1917,Wilcoxon,,
serce,MLP,raw,remove_fill,45,474.5,0.627415,NIE,,0.0065,Wilcoxon,,
serce,NB,raw,all,45,364.5,0.127765,NIE,,0.0044,Wilcoxon,,
serce,NB,raw,all_knn,45,330.5,0.034789,TAK,*,0.0072,Wilcoxon,,
serce,NB,raw,fill,45,129.0,1.2e-05,TAK,***,-0.0139,Wilcoxon,,
serce,NB,raw,fill_knn,45,249.5,0.002485,TAK,**,-0.0099,Wilcoxon,,
serce,NB,raw,fill_norm,45,11.0,0.0,TAK,***,-0.0242,Wilcoxon,,
serce,NB,raw,remove_fill,45,331.0,0.055629,NIE,,0.0055,Wilcoxon,,
serce,RF,raw,all,45,162.0,6e-05,TAK,***,-0.0222,Wilcoxon,,
serce,RF,raw,all_knn,45,215.5,0.000652,TAK,***,-0.0178,Wilcoxon,,
serce,RF,raw,fill,45,245.5,0.002139,TAK,**,-0.0142,Wilcoxon,,
serce,RF,raw,fill_knn,45,243.0,0.001528,TAK,**,-0.0147,Wilcoxon,,
