Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Znak_Istotnosci,Srednia_Delta,Test,Liczba_metod,Metody
kredyty,RF,,,12,3.9325,0.41522,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
kredyty,XGBoost,,,12,6.0741,0.193684,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,NB,,,12,24.557,6.2e-05,TAK,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,RF,,,12,11.5294,0.021216,TAK,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
rezygnacje,XGBoost,,,12,0.5926,0.963883,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,NB,,,12,4.9492,0.292555,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,RF,,,12,4.5063,0.341798,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
serce,XGBoost,,,12,0.7407,0.946211,NIE,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,NB,,,12,31.6,2e-06,TAK,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,RF,,,12,29.1814,7e-06,TAK,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
zapalenia,XGBoost,,,12,18.0,0.001234,TAK,,,Friedman,5.0,"all, fill, fill_norm, raw, remove_fill"
