Dataset,Model,Baseline,Metoda,n,Statystyka,p_value,Istotne_005,Test,Liczba_metod,Metody
rezygnacje,RF,raw,remove_fill,45,484.0,0.705318,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,all,45,376.5,0.111481,NIE,Wilcoxon,,
rezygnacje,XGBoost,raw,all_knn,45,113.0,5e-06,TAK,Wilcoxon,,
rezygnacje,XGBoost,raw,fill,45,252.5,0.002778,TAK,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_knn,45,12.0,0.0,TAK,Wilcoxon,,
rezygnacje,XGBoost,raw,fill_norm,45,252.5,0.002778,TAK,Wilcoxon,,
rezygnacje,XGBoost,raw,remove_fill,45,376.5,0.111481,NIE,Wilcoxon,,
serce,MLP,raw,all,45,0.0,0.0,TAK,Wilcoxon,,
serce,MLP,raw,all_knn,45,0.0,0.0,TAK,Wilcoxon,,
serce,MLP,raw,fill,45,431.0,0.328872,NIE,Wilcoxon,,
serce,MLP,raw,fill_knn,45,387.0,0.143428,NIE,Wilcoxon,,
serce,MLP,raw,fill_norm,45,1.0,0.0,TAK,Wilcoxon,,
serce,MLP,raw,remove_fill,45,458.5,0.50543,NIE,Wilcoxon,,
serce,NB,raw,all,45,502.0,0.861111,NIE,Wilcoxon,,
serce,NB,raw,all_knn,45,451.5,0.456278,NIE,Wilcoxon,,
serce,NB,raw,fill,45,46.0,0.0,TAK,Wilcoxon,,
serce,NB,raw,fill_knn,45,115.5,6e-06,TAK,Wilcoxon,,
serce,NB,raw,fill_norm,45,2.0,0.0,TAK,Wilcoxon,,
serce,NB,raw,remove_fill,45,471.0,0.599667,NIE,Wilcoxon,,
serce,RF,raw,all,45,150.0,5.7e-05,TAK,Wilcoxon,,
serce,RF,raw,all_knn,45,201.5,0.000361,TAK,Wilcoxon,,
serce,RF,raw,fill,45,235.5,0.001457,TAK,Wilcoxon,,
serce,RF,raw,fill_knn,45,221.5,0.000834,TAK,Wilcoxon,,
serce,RF,raw,fill_norm,45,227.5,0.001797,TAK,Wilcoxon,,
serce,RF,raw,remove_fill,45,160.0,5.5e-05,TAK,Wilcoxon,,
serce,XGBoost,raw,all,45,344.5,0.050848,NIE,Wilcoxon,,
serce,XGBoost,raw,all_knn,45,270.0,0.004557,TAK,Wilcoxon,,
serce,XGBoost,raw,fill,45,447.0,0.426161,NIE,Wilcoxon,,
serce,XGBoost,raw,fill_knn,45,328.5,0.032893,TAK,Wilcoxon,,
serce,XGBoost,raw,fill_norm,45,447.0,0.426161,NIE,Wilcoxon,,
serce,XGBoost,raw,remove_fill,45,344.5,0.050848,NIE,Wilcoxon,,
zapalenia,MLP,raw,all,45,0.0,0.0,TAK,Wilcoxon,,
zapalenia,MLP,raw,all_knn,45,0.0,0.0,TAK,Wilcoxon,,
zapalenia,MLP,raw,fill,45,412.0,0.238471,NIE,Wilcoxon,,
zapalenia,MLP,raw,fill_knn,45,443.0,0.400384,NIE,Wilcoxon,,
zapalenia,MLP,raw,fill_norm,45,0.0,0.0,TAK,Wilcoxon,,
zapalenia,MLP,raw,remove_fill,45,498.0,0.831823,NIE,Wilcoxon,,
zapalenia,NB,raw,all,45,0.0,0.0,TAK,Wilcoxon,,
zapalenia,NB,raw,all_knn,45,0.0,0.0,TAK,Wilcoxon,,
zapalenia,NB,raw,fill,45,112.0,1e-06,TAK,Wilcoxon,,
zapalenia,NB,raw,fill_knn,45,304.5,0.016204,TAK,Wilcoxon,,
zapalenia,NB,raw,fill_norm,45,388.0,0.14381,NIE,Wilcoxon,,
zapalenia,NB,raw,remove_fill,45,10.0,0.0,TAK,Wilcoxon,,
zapalenia,RF,raw,all,45,105.5,3e-06,TAK,Wilcoxon,,
zapalenia,RF,raw,all_knn,45,101.5,3e-06,TAK,Wilcoxon,,
zapalenia,RF,raw,fill,45,193.5,0.000255,TAK,Wilcoxon,,
zapalenia,RF,raw,fill_knn,45,514.5,0.972986,NIE,Wilcoxon,,
zapalenia,RF,raw,fill_norm,45,198.5,0.000317,TAK,Wilcoxon,,
zapalenia,RF,raw,remove_fill,45,105.0,3e-06,TAK,Wilcoxon,,
zapalenia,XGBoost,raw,all,45,281.5,0.007724,TAK,Wilcoxon,,
zapalenia,XGBoost,raw,all_knn,45,207.5,0.000793,TAK,Wilcoxon,,
zapalenia,XGBoost,raw,fill,45,415.0,0.247279,NIE,Wilcoxon,,
zapalenia,XGBoost,raw,fill_knn,45,457.5,0.498239,NIE,Wilcoxon,,
zapalenia,XGBoost,raw,fill_norm,45,415.0,0.247279,NIE,Wilcoxon,,
zapalenia,XGBoost,raw,remove_fill,45,281.5,0.007724,TAK,Wilcoxon,,
diabetes,MLP,,,45,176.8308,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,NB,,,45,143.9119,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,RF,,,45,49.9409,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
diabetes,XGBoost,,,45,100.2574,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,MLP,,,45,121.8095,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,NB,,,45,192.3524,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,RF,,,45,14.8054,0.021825,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
kredyty,XGBoost,,,45,58.1597,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,MLP,,,45,189.9245,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,NB,,,45,190.2943,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,RF,,,45,38.8948,1e-06,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
rezygnacje,XGBoost,,,45,57.0781,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,MLP,,,45,198.8095,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,NB,,,45,118.89,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,RF,,,45,48.2889,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
serce,XGBoost,,,45,7.837,0.250287,NIE,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,MLP,,,45,207.2286,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,NB,,,45,208.2374,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,RF,,,45,106.3257,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
zapalenia,XGBoost,,,45,58.7872,0.0,TAK,Friedman,7.0,"all, all_knn, fill, fill_knn, fill_norm, raw, remove_fill"
