Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,40%,fill_knn,RF,0.6645,0.0209,9
diabetes,40%,fill_knn,XGBoost,0.6691,0.0191,9
diabetes,40%,fill_norm,MLP,0.4828,0.0173,9
diabetes,40%,fill_norm,NB,0.5462,0.0232,9
diabetes,40%,fill_norm,RF,0.6774,0.021,9
diabetes,40%,fill_norm,XGBoost,0.6865,0.019,9
diabetes,40%,raw,MLP,0.4924,0.0231,9
diabetes,40%,raw,NB,0.5507,0.025,9
diabetes,40%,raw,RF,0.655,0.0199,9
diabetes,40%,raw,XGBoost,0.6696,0.0118,9
diabetes,40%,remove_fill,MLP,0.5297,0.0304,9
diabetes,40%,remove_fill,NB,0.6488,0.0218,9
diabetes,40%,remove_fill,RF,0.6849,0.016,9
diabetes,40%,remove_fill,XGBoost,0.6986,0.0118,9
diabetes,50%,all,MLP,0.5014,0.0358,9
diabetes,50%,all,NB,0.5187,0.0149,9
diabetes,50%,all,RF,0.6322,0.0213,9
diabetes,50%,all,XGBoost,0.66,0.0174,9
diabetes,50%,all_knn,MLP,0.511,0.0288,9
diabetes,50%,all_knn,NB,0.5322,0.0248,9
diabetes,50%,all_knn,RF,0.6043,0.0161,9
diabetes,50%,all_knn,XGBoost,0.6153,0.0201,9
diabetes,50%,fill,MLP,0.4954,0.015,9
diabetes,50%,fill,NB,0.5208,0.0337,9
diabetes,50%,fill,RF,0.6306,0.0183,9
diabetes,50%,fill,XGBoost,0.6576,0.0211,9
diabetes,50%,fill_knn,MLP,0.4964,0.0181,9
diabetes,50%,fill_knn,NB,0.5295,0.0291,9
diabetes,50%,fill_knn,RF,0.6202,0.0155,9
diabetes,50%,fill_knn,XGBoost,0.6249,0.0175,9
diabetes,50%,fill_norm,MLP,0.4996,0.026,9
diabetes,50%,fill_norm,NB,0.5208,0.0337,9
diabetes,50%,fill_norm,RF,0.6312,0.0189,9
diabetes,50%,fill_norm,XGBoost,0.6576,0.0211,9
diabetes,50%,raw,MLP,0.485,0.0094,9
diabetes,50%,raw,NB,0.5245,0.0319,9
diabetes,50%,raw,RF,0.6345,0.019,9
diabetes,50%,raw,XGBoost,0.6566,0.0266,9
diabetes,50%,remove_fill,MLP,0.499,0.0338,9
diabetes,50%,remove_fill,NB,0.5187,0.0149,9
diabetes,50%,remove_fill,RF,0.6319,0.0211,9
diabetes,50%,remove_fill,XGBoost,0.66,0.0174,9
diabetes,ORYGINALNY,raw,MLP,0.6395,0.04,3
diabetes,ORYGINALNY,raw,NB,0.8149,0.0007,3
diabetes,ORYGINALNY,raw,RF,0.8302,0.0013,3
diabetes,ORYGINALNY,raw,XGBoost,0.8165,0.0003,3
kredyty,10%,all,MLP,0.6055,0.0313,9
kredyty,10%,all,NB,0.6059,0.0112,9
kredyty,10%,all,RF,0.6347,0.0263,9
kredyty,10%,all,XGBoost,0.6516,0.0165,9
kredyty,10%,all_knn,MLP,0.5907,0.0374,9
kredyty,10%,all_knn,NB,0.6068,0.0118,9
kredyty,10%,all_knn,RF,0.6335,0.0194,9
kredyty,10%,all_knn,XGBoost,0.6455,0.015,9
kredyty,10%,fill,MLP,0.4668,0.0172,9
kredyty,10%,fill,NB,0.5575,0.0102,9
kredyty,10%,fill,RF,0.6322,0.0194,9
kredyty,10%,fill,XGBoost,0.6443,0.013,9
kredyty,10%,fill_knn,MLP,0.4662,0.016,9
kredyty,10%,fill_knn,NB,0.5463,0.0156,9
kredyty,10%,fill_knn,RF,0.6291,0.0154,9
kredyty,10%,fill_knn,XGBoost,0.6384,0.0143,9
kredyty,10%,fill_norm,MLP,0.4909,0.0333,9
kredyty,10%,fill_norm,NB,0.5743,0.0196,9
kredyty,10%,fill_norm,RF,0.632,0.0192,9
kredyty,10%,fill_norm,XGBoost,0.6443,0.013,9
kredyty,10%,raw,MLP,0.4589,0.0233,9
kredyty,10%,raw,NB,0.5613,0.0167,9
kredyty,10%,raw,RF,0.6385,0.0282,9
kredyty,10%,raw,XGBoost,0.6462,0.0152,9
kredyty,10%,remove_fill,MLP,0.5062,0.0372,9
kredyty,10%,remove_fill,NB,0.6112,0.0105,9
kredyty,10%,remove_fill,RF,0.635,0.026,9
kredyty,10%,remove_fill,XGBoost,0.6516,0.0165,9
kredyty,20%,all,MLP,0.5786,0.037,9
kredyty,20%,all,NB,0.6022,0.0164,9
kredyty,20%,all,RF,0.6012,0.0133,9
kredyty,20%,all,XGBoost,0.6063,0.024,9
kredyty,20%,all_knn,MLP,0.5681,0.0363,9
kredyty,20%,all_knn,NB,0.5973,0.0168,9
kredyty,20%,all_knn,RF,0.596,0.0218,9
kredyty,20%,all_knn,XGBoost,0.6057,0.0289,9
kredyty,20%,fill,MLP,0.4742,0.0251,9
kredyty,20%,fill,NB,0.5436,0.0073,9
kredyty,20%,fill,RF,0.6003,0.0216,9
kredyty,20%,fill,XGBoost,0.6109,0.0442,9
kredyty,20%,fill_knn,MLP,0.4771,0.0186,9
kredyty,20%,fill_knn,NB,0.5276,0.0145,9
kredyty,20%,fill_knn,RF,0.588,0.0249,9
kredyty,20%,fill_knn,XGBoost,0.605,0.0322,9
