Dataset,PoziomUszkodzen,Metoda,Model,AUC_srednia,AUC_std,Liczba_powtorzen
diabetes,40%,fill_knn,NB,0.5491,0.0195,9
diabetes,40%,fill_knn,RF,0.6591,0.0285,9
diabetes,40%,fill_knn,XGBoost,0.666,0.0271,9
diabetes,40%,fill_norm,MLP,0.4855,0.0461,9
diabetes,40%,fill_norm,NB,0.5388,0.0213,9
diabetes,40%,fill_norm,RF,0.6804,0.0343,9
diabetes,40%,fill_norm,XGBoost,0.6972,0.0219,9
diabetes,40%,raw,MLP,0.4922,0.017,9
diabetes,40%,raw,NB,0.504,0.033,9
diabetes,40%,raw,RF,0.6652,0.0335,9
diabetes,40%,raw,XGBoost,0.6808,0.0253,9
diabetes,40%,remove_fill,MLP,0.5244,0.0229,9
diabetes,40%,remove_fill,NB,0.633,0.0208,9
diabetes,40%,remove_fill,RF,0.6815,0.0214,9
diabetes,40%,remove_fill,XGBoost,0.7044,0.0137,9
diabetes,50%,all,MLP,0.5272,0.0202,9
diabetes,50%,all,NB,0.528,0.0221,9
diabetes,50%,all,RF,0.6372,0.0183,9
diabetes,50%,all,XGBoost,0.665,0.0125,9
diabetes,50%,all_knn,MLP,0.5233,0.0255,9
diabetes,50%,all_knn,NB,0.5341,0.0205,9
diabetes,50%,all_knn,RF,0.6203,0.0176,9
diabetes,50%,all_knn,XGBoost,0.6272,0.017,9
diabetes,50%,fill,MLP,0.4931,0.0177,9
diabetes,50%,fill,NB,0.5429,0.0239,9
diabetes,50%,fill,RF,0.6455,0.0235,9
diabetes,50%,fill,XGBoost,0.6717,0.0186,9
diabetes,50%,fill_knn,MLP,0.4941,0.0198,9
diabetes,50%,fill_knn,NB,0.5707,0.0299,9
diabetes,50%,fill_knn,RF,0.641,0.0246,9
diabetes,50%,fill_knn,XGBoost,0.6463,0.0267,9
diabetes,50%,fill_norm,MLP,0.4991,0.0328,9
diabetes,50%,fill_norm,NB,0.5429,0.0239,9
diabetes,50%,fill_norm,RF,0.6451,0.0247,9
diabetes,50%,fill_norm,XGBoost,0.6717,0.0186,9
diabetes,50%,raw,MLP,0.4971,0.0189,9
diabetes,50%,raw,NB,0.5236,0.0157,9
diabetes,50%,raw,RF,0.652,0.0208,9
diabetes,50%,raw,XGBoost,0.663,0.0203,9
diabetes,50%,remove_fill,MLP,0.5172,0.029,9
diabetes,50%,remove_fill,NB,0.528,0.0222,9
diabetes,50%,remove_fill,RF,0.6376,0.0187,9
diabetes,50%,remove_fill,XGBoost,0.665,0.0125,9
diabetes,ORYGINALNY,raw,MLP,0.6395,0.04,3
diabetes,ORYGINALNY,raw,NB,0.8149,0.0007,3
diabetes,ORYGINALNY,raw,RF,0.8302,0.0013,3
diabetes,ORYGINALNY,raw,XGBoost,0.8165,0.0003,3
kredyty,10%,all,MLP,0.6055,0.0313,9
kredyty,10%,all,NB,0.6059,0.0112,9
kredyty,10%,all,RF,0.6347,0.0263,9
kredyty,10%,all,XGBoost,0.6516,0.0165,9
kredyty,10%,all_knn,MLP,0.5907,0.0374,9
kredyty,10%,all_knn,NB,0.6068,0.0118,9
kredyty,10%,all_knn,RF,0.6335,0.0194,9
kredyty,10%,all_knn,XGBoost,0.6455,0.015,9
kredyty,10%,fill,MLP,0.4668,0.0172,9
kredyty,10%,fill,NB,0.5575,0.0102,9
kredyty,10%,fill,RF,0.6322,0.0194,9
kredyty,10%,fill,XGBoost,0.6443,0.013,9
kredyty,10%,fill_knn,MLP,0.4662,0.016,9
kredyty,10%,fill_knn,NB,0.5463,0.0156,9
kredyty,10%,fill_knn,RF,0.6291,0.0154,9
kredyty,10%,fill_knn,XGBoost,0.6384,0.0143,9
kredyty,10%,fill_norm,MLP,0.4909,0.0333,9
kredyty,10%,fill_norm,NB,0.5743,0.0196,9
kredyty,10%,fill_norm,RF,0.632,0.0192,9
kredyty,10%,fill_norm,XGBoost,0.6443,0.013,9
kredyty,10%,raw,MLP,0.4669,0.0213,9
kredyty,10%,raw,NB,0.543,0.0185,9
kredyty,10%,raw,RF,0.6382,0.0267,9
kredyty,10%,raw,XGBoost,0.6459,0.0172,9
kredyty,10%,remove_fill,MLP,0.5062,0.0372,9
kredyty,10%,remove_fill,NB,0.6112,0.0105,9
kredyty,10%,remove_fill,RF,0.635,0.026,9
kredyty,10%,remove_fill,XGBoost,0.6516,0.0165,9
kredyty,20%,all,MLP,0.5786,0.037,9
kredyty,20%,all,NB,0.6022,0.0164,9
kredyty,20%,all,RF,0.6012,0.0133,9
kredyty,20%,all,XGBoost,0.6063,0.024,9
kredyty,20%,all_knn,MLP,0.5681,0.0363,9
kredyty,20%,all_knn,NB,0.5973,0.0168,9
kredyty,20%,all_knn,RF,0.596,0.0218,9
kredyty,20%,all_knn,XGBoost,0.6057,0.0289,9
kredyty,20%,fill,MLP,0.4742,0.0251,9
kredyty,20%,fill,NB,0.5436,0.0073,9
kredyty,20%,fill,RF,0.6003,0.0216,9
kredyty,20%,fill,XGBoost,0.6109,0.0442,9
kredyty,20%,fill_knn,MLP,0.4771,0.0186,9
kredyty,20%,fill_knn,NB,0.5276,0.0145,9
kredyty,20%,fill_knn,RF,0.588,0.0249,9
kredyty,20%,fill_knn,XGBoost,0.605,0.0322,9
kredyty,20%,fill_norm,MLP,0.5002,0.0315,9
kredyty,20%,fill_norm,NB,0.5716,0.0253,9
kredyty,20%,fill_norm,RF,0.6005,0.0215,9
kredyty,20%,fill_norm,XGBoost,0.6109,0.0442,9
