Dataset,PoziomUszkodzen,Metoda,Model,DamageRepeat,CVRepeat,CVSeed,AUC
zapalenia,10%,all_knn,XGBoost,1,3,303,0.9196
zapalenia,10%,raw,RF,2,1,101,0.8907
zapalenia,10%,raw,RF,2,2,202,0.9015
zapalenia,10%,raw,RF,2,3,303,0.9069
zapalenia,10%,raw,NB,2,1,101,0.5642
zapalenia,10%,raw,NB,2,2,202,0.5935
zapalenia,10%,raw,NB,2,3,303,0.5715
zapalenia,10%,raw,MLP,2,1,101,0.5039
zapalenia,10%,raw,MLP,2,2,202,0.5897
zapalenia,10%,raw,MLP,2,3,303,0.5978
zapalenia,10%,raw,XGBoost,2,1,101,0.9032
zapalenia,10%,raw,XGBoost,2,2,202,0.914
zapalenia,10%,raw,XGBoost,2,3,303,0.9053
zapalenia,10%,fill,RF,2,1,101,0.9087
zapalenia,10%,fill,RF,2,2,202,0.8953
zapalenia,10%,fill,RF,2,3,303,0.9061
zapalenia,10%,fill,NB,2,1,101,0.6603
zapalenia,10%,fill,NB,2,2,202,0.7025
zapalenia,10%,fill,NB,2,3,303,0.6715
zapalenia,10%,fill,MLP,2,1,101,0.597
zapalenia,10%,fill,MLP,2,2,202,0.6327
zapalenia,10%,fill,MLP,2,3,303,0.5916
zapalenia,10%,fill,XGBoost,2,1,101,0.9046
zapalenia,10%,fill,XGBoost,2,2,202,0.9246
zapalenia,10%,fill,XGBoost,2,3,303,0.9047
zapalenia,10%,remove_fill,RF,2,1,101,0.8978
zapalenia,10%,remove_fill,RF,2,2,202,0.9011
zapalenia,10%,remove_fill,RF,2,3,303,0.8829
zapalenia,10%,remove_fill,NB,2,1,101,0.8269
zapalenia,10%,remove_fill,NB,2,2,202,0.8335
zapalenia,10%,remove_fill,NB,2,3,303,0.8139
zapalenia,10%,remove_fill,MLP,2,1,101,0.6106
zapalenia,10%,remove_fill,MLP,2,2,202,0.6807
zapalenia,10%,remove_fill,MLP,2,3,303,0.6036
zapalenia,10%,remove_fill,XGBoost,2,1,101,0.9129
zapalenia,10%,remove_fill,XGBoost,2,2,202,0.9226
zapalenia,10%,remove_fill,XGBoost,2,3,303,0.8984
zapalenia,10%,fill_norm,RF,2,1,101,0.9081
zapalenia,10%,fill_norm,RF,2,2,202,0.8952
zapalenia,10%,fill_norm,RF,2,3,303,0.9061
zapalenia,10%,fill_norm,NB,2,1,101,0.5847
zapalenia,10%,fill_norm,NB,2,2,202,0.5811
zapalenia,10%,fill_norm,NB,2,3,303,0.579
zapalenia,10%,fill_norm,MLP,2,1,101,0.8864
zapalenia,10%,fill_norm,MLP,2,2,202,0.8558
zapalenia,10%,fill_norm,MLP,2,3,303,0.872
zapalenia,10%,fill_norm,XGBoost,2,1,101,0.9046
zapalenia,10%,fill_norm,XGBoost,2,2,202,0.9246
zapalenia,10%,fill_norm,XGBoost,2,3,303,0.9047
zapalenia,10%,all,RF,2,1,101,0.8977
zapalenia,10%,all,RF,2,2,202,0.9007
zapalenia,10%,all,RF,2,3,303,0.8828
zapalenia,10%,all,NB,2,1,101,0.8298
zapalenia,10%,all,NB,2,2,202,0.8463
zapalenia,10%,all,NB,2,3,303,0.8203
zapalenia,10%,all,MLP,2,1,101,0.8466
zapalenia,10%,all,MLP,2,2,202,0.87
zapalenia,10%,all,MLP,2,3,303,0.8817
zapalenia,10%,all,XGBoost,2,1,101,0.9129
zapalenia,10%,all,XGBoost,2,2,202,0.9226
zapalenia,10%,all,XGBoost,2,3,303,0.8984
zapalenia,10%,fill_knn,RF,2,1,101,0.8989
zapalenia,10%,fill_knn,RF,2,2,202,0.9038
zapalenia,10%,fill_knn,RF,2,3,303,0.8914
zapalenia,10%,fill_knn,NB,2,1,101,0.6549
zapalenia,10%,fill_knn,NB,2,2,202,0.6885
zapalenia,10%,fill_knn,NB,2,3,303,0.657
zapalenia,10%,fill_knn,MLP,2,1,101,0.6339
zapalenia,10%,fill_knn,MLP,2,2,202,0.6635
zapalenia,10%,fill_knn,MLP,2,3,303,0.6376
zapalenia,10%,fill_knn,XGBoost,2,1,101,0.9021
zapalenia,10%,fill_knn,XGBoost,2,2,202,0.9235
zapalenia,10%,fill_knn,XGBoost,2,3,303,0.901
zapalenia,10%,all_knn,RF,2,1,101,0.902
zapalenia,10%,all_knn,RF,2,2,202,0.8966
zapalenia,10%,all_knn,RF,2,3,303,0.8938
zapalenia,10%,all_knn,NB,2,1,101,0.8236
zapalenia,10%,all_knn,NB,2,2,202,0.8467
zapalenia,10%,all_knn,NB,2,3,303,0.8234
zapalenia,10%,all_knn,MLP,2,1,101,0.8382
zapalenia,10%,all_knn,MLP,2,2,202,0.8775
zapalenia,10%,all_knn,MLP,2,3,303,0.8835
zapalenia,10%,all_knn,XGBoost,2,1,101,0.9102
zapalenia,10%,all_knn,XGBoost,2,2,202,0.9143
zapalenia,10%,all_knn,XGBoost,2,3,303,0.8953
zapalenia,10%,raw,RF,3,1,101,0.9065
zapalenia,10%,raw,RF,3,2,202,0.9105
zapalenia,10%,raw,RF,3,3,303,0.9171
zapalenia,10%,raw,NB,3,1,101,0.6354
zapalenia,10%,raw,NB,3,2,202,0.6463
zapalenia,10%,raw,NB,3,3,303,0.6128
zapalenia,10%,raw,MLP,3,1,101,0.6847
zapalenia,10%,raw,MLP,3,2,202,0.639
zapalenia,10%,raw,MLP,3,3,303,0.6323
zapalenia,10%,raw,XGBoost,3,1,101,0.9045
zapalenia,10%,raw,XGBoost,3,2,202,0.9137
zapalenia,10%,raw,XGBoost,3,3,303,0.9168
zapalenia,10%,fill,RF,3,1,101,0.9187
zapalenia,10%,fill,RF,3,2,202,0.9171
zapalenia,10%,fill,RF,3,3,303,0.9301
zapalenia,10%,fill,NB,3,1,101,0.6996
zapalenia,10%,fill,NB,3,2,202,0.6735
zapalenia,10%,fill,NB,3,3,303,0.6714
zapalenia,10%,fill,MLP,3,1,101,0.6786
zapalenia,10%,fill,MLP,3,2,202,0.6847
zapalenia,10%,fill,MLP,3,3,303,0.6987
zapalenia,10%,fill,XGBoost,3,1,101,0.9126
zapalenia,10%,fill,XGBoost,3,2,202,0.9268
zapalenia,10%,fill,XGBoost,3,3,303,0.927
zapalenia,10%,remove_fill,RF,3,1,101,0.9093
zapalenia,10%,remove_fill,RF,3,2,202,0.9182
zapalenia,10%,remove_fill,RF,3,3,303,0.9109
zapalenia,10%,remove_fill,NB,3,1,101,0.8306
